COD_CIR,Origen,Destino,Nom_orig,Nom_Des,Km,Res,Reac,tension,proy
LED-001,SIED-01,SIED-02,Chavarria 60 kV,Naranjal 60 kV,4.023,0.1319,0.4355,60,0
LED-002,SIED-01,SIED-02,Chavarria 60 kV,Naranjal 60 kV,4.023,0.1319,0.4355,60,0
LED-003,SIED-02,SIED-04,Naranjal 60 kV,Chillon 60 kV,11.35,0.1139,0.3877,60,0
LED-004,SIED-02,SIED-04,Naranjal 60 kV,Chillon 60 kV,11.35,0.1139,0.3877,60,0
LED-005,SIED-01,SIED-03,Chavarria 60 kV,Oquendo 60 kV,6.227,0.1072,0.3735,60,0
LED-006,SIED-01,SIED-03,Chavarria 60 kV,Oquendo 60 kV,5.357,0.0976,0.3534,60,0
LED-007,SIED-03,SIED-04,Oquendo 60 kV,Chillon 60 kV,7.4804,0.124501,0.385102,60,0
LED-008,SIED-03,SIED-04,Oquendo 60 kV,Chillon 60 kV,7.466,0.1245,0.4113,60,0
LED-028,SIED-03,SIED-04,Oquendo 60 kV,Chillon 60 kV,7.7,0.0393,0.2537,60,0
LED-011,SIED-04,SIED-07,Chillon 60 kV,Zapallal 60 kV,12.7656,0.109081,0.354262,60,0
LED-012,SIED-04,SIED-07,Chillon 60 kV,Zapallal 60 kV,21.902,0.104731,0.41734,60,0
LED-013,SIED-06,SIED-05,Huarangal 60 kV,Puente Piedra 60 kV,9.72,0.1098,0.3784,60,0
LED-014,SIED-06,SIED-05,Huarangal 60 kV,Puente Piedra 60 kV,9.72,0.1098,0.3784,60,0
LED-015,SIED-05,SIED-07,Puente Piedra 60 kV,Zapallal 60 kV,6.152,0.1319,0.4277,60,0
LED-026,SIED-06,SIED-07,Huarangal 60 kV,Zapallal 60 kV,14.9,0.04136,0.2863,60,0
LED-027,SIED-06,SIED-07,Huarangal 60 kV,Zapallal 60 kV,12.52,0.039198,0.287726,60,0
LED-016,SIED-07,SIED-08,Zapallal 60 kV,Lomera 60 kV,55.09,0.243579,0.443684,60,0
LED-017,SIED-07,SIED-08,Zapallal 60 kV,Lomera 60 kV,61.604,0.281969,0.452751,60,0
LLS-001,SILS-01,SILS-02,Chilca 60 kV,San Bartolo 60 kV,16.724,0.3149,0.4652,60,0
LLS-002,SILS-01,SILS-02,Chilca 60 kV,San Bartolo 60 kV,16.091,0.3283,0.4643,60,0
LLS-005,SILS-01,SILS-04,Chilca 60 kV,Bujama 60 kV,29.7,0.3244,0.4668,60,0
LLS-009,SILS-05,SILS-21,Independencia 60 kV,El Angel 60 kV,24.9,0.277,0.468,60,0
LLS-010,SILS-05,SILS-21,Independencia 60 kV,El Angel 60 kV,24.9,0.277,0.468,60,0
LSE-021,SIS-03,SIS-29,Aricota 66 kV,Tomasiri 66 kV,58.3,0.2516,0.4596,66,0
LSE-022,SIS-29,SIS-27,Tomasiri 66 kV,Tacna 66 kV,29.3,0.139,0.4439,66,0
LNX-198,SIS-85,SIS-81,Azangaro 60 kV,Putina 60 kV,38,0.22,0.477,60,0
