nombre,latitud,longitud,codigo
Conococha 220 kV,-10.102992,-77.25229,SICN-80
Pomacocha 220 kV,-11.73363,-76.132121,SICN-43
Huanza 220 kV,-11.65663,-76.481584,SICN102
Orcotuna 220 kV,-11.972957,-75.318186,SICN111
Huayucachi 220 kV,-12.132056,-75.224659,SICN-24
Colcabamba 220 kV,-12.381988,-74.647289,SICN-04
CAguila 220 kV,-12.240919,-74.701289,SICN128
Mantaro 220 kV,-12.357889,-74.650549,SICN-28
Cotaruse 220 kV,-14.533004,-73.300727,SICN-74
Socabaya 220 kV,-16.47434,-71.516587,SIS-24
Cerro Verde 220 kV,-16.518729,-71.590733,SIS-13
Yarabamba 220 kV,-16.504621,-71.518881,SIS148
San Luis CV 220 kV,-16.518729,-71.590733,SIS-32
San Jose 220 kV,-16.67661,-71.807989,SIS-52
Moquegua 220 kV,-17.215594,-70.966354,SIS-18
Montalvo 220 kV,-17.190489,-71.000205,SIS-35
Ilo2 220 kV,-17.775627,-71.187653,SIS-34
Ilo3 220 kV,-17.57696,-71.122145,SIS-54
Tia Maria 220 kV,-17.01452,-71.768572,SIS-57
Los Heroes 220 kV,-17.999889,-70.317016,SIS-26
Puno 220 kV,-15.884655,-70.010999,SIS-20
Juliaca 220 kV,-15.509134,-70.120159,SIS-50
Azangaro 220 kV,-14.914043,-70.2052,SIS-49
San Gaban 220 kV,-13.647333,-70.463639,SIS-66
Tintaya 220 kV,-14.856087,-71.32526,SIS-42
Onocora 220 kV,-14.25666161,-71.23743953,SIS-43
Kayra 220 kV,-13.55411,-71.87397,SIS-45
Suriray 220 kV,-13.142702,-72.605442,SIS-44
Abancay 220 kV,-13.53867,-72.800888,SIS-36
Constancia 220 kV,-14.467203,-71.787426,SIS-64
Las Bambas 220 kV,-14.088372,-72.336465,SIS-65
Carhuaquero 138 kV,-6.606665,-79.246285,SICN-87
Cutervo 138 kV,-6.401212,-78.81203,SICN-88
Jaen 138 kV,-5.651954,-78.761637,SICN-89
Chimbote 138 kV,-9.009861,-78.557924,SICN-63
Huallanca 138 kV,-8.813069,-77.852643,SICN-62
Kiman Ayllu 138 kV,-8.775515,-77.872572,SICN179
SEPANU 138 kV,-10.679922,-77.741764,SICN-70
SEPAEX 138 kV,-10.670952,-77.822288,SICN-71
Yuncan 138 kV,-10.722052,-75.64394,SICN-57
Yaupi 138 kV,-10.742816,-75.536751,SICN-96
Oroya 138 kV,-11.532308,-75.917902,SICN-33
Caripa 138 kV,-11.371525,-75.889508,SICN-12
Condorcocha 138 kV,-10.102992,-77.25229,SICN-66
Carhuamayo 138 kV,-10.929973,-76.057133,SICN-08
Paragsha 138 kV,-10.674066,-76.263895,SICN-38
Huanuco 138 kV,-9.937767,-76.238649,SICN-23
Huanuco Nueva 138 kV,-9.937767,-76.238649,SICN121
Amarilis 138 kV,-9.906755,-76.201631,SICN125
Piedra Blanca 138 kV,-9.530299,-75.954842,SICN126
